"就診年週","全國"
"202451",16633
"202452",15117
"202501",14650
"202502",12911
"202503",10176
"202504",8920
"202505",4032
"202506",4867
"202507",4318
"202508",4483
"202509",4269
"202510",4292
"202511",4302
"202512",4069
"202513",3636
"202514",3013
"202515",3259
"202516",3555
"202517",3625
"202518",3943
"202519",4268
"202520",5081
"202521",5192
"202522",4871
"202523",5511
"202524",6423
"202525",7238
"202526",7132
"202527",7229
"202528",6544
"202529",6865
"202530",6981
"202531",6887
"202532",7284
"202533",7812
"202534",7906
"202535",7946
"202536",8151
"202537",8979
"202538",8899
"202539",8891
"202540",9023
"202541",8474
"202542",9364
"202543",8985
"202544",10491
"202545",11283
"202546",11936
"202547",12605
"202548",12629
"202549",11185
"202550",10867
"202551",10778
"202552",10259
"202553",9401
"202601",8602
"202602",7220
"202603",7125
"202604",6431
"202605",6121
"202606",5519
"202607",1975
"202608",2875
"202609",3132
"202610",3477
"202611",3182
"202612",3098
"202613",3056
"202614",3157
"202615",3727
"202616",4178
"202617",4010
"202618",4244
"202619",4802
"202620",5317
"202621",5843
"202622",5942
"202623",6203
"202624",6613
"202625",7258
"202626",8000
"202627",7804
"202628",7966
"202629",7013
"202630",6416
"202631",6358
"202632",6731
"202633",6723
"202634",7194
"202635",8317
